Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
1,6,6,0,1,Trader,M ,Good,6-10 cedis,2,Close,Maybe,Average,Excellent,61,Maybe,Yes,Yes,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
2,8,6,0,1,Farmer,Low,Fair,2-5 cedis,3,Far,No,Average,Good,63,Yes,Yes,No,1 hour,Irregularly,Sometimes,Yes,No,Yes,Sports,No
3,8,6,0,1,Cleaner,Low,Fair,6-10 cedis,2,very Close,No,Average,Excellent,63,Yes,Yes,Yes,1 hour,Irregularly,Sometimes,Yes,Yes,Yes,Sports,Yes
4,9,6,1,2,Travel Agent,high,Good,11 cedis and above,2,Close,No,Excellent,Excellent,62,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
5,9,6,0,1,Contractor,M,Good,2-5 cedis,2,very Far,Yes,Average,Good,62,Maybe,Maybe,Yes,1 hour,Not at all,Sometimes,Yes,No,No,,
6,10,6,0,2,Trader,Low,Fair,2-5 cedis,1,Close,Maybe,Poor,Average,59,Maybe,Maybe,Maybe,2 hours and above,Regularly,Not at all,No,No,No,,
7,11,6,0,1,Trader,M,Good,2-5 cedis,2,Close,Yes,Average,Good,59,Maybe,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
8,11,6,0,1,Trader,M,Fair,6-10 cedis,3,Far,No,Average,Good,59,Yes,Yes,Yes,2 hours and above,Regularly,Sometimes,No,No,No,,
9,12.5,6,0,1,Teacher,M,Good,2-5 cedis,2,Far,Yes,Poor,Poor,60,Yes,Yes,No,less than an hour,Not at all,Sometimes,No,No,Yes,Sports,No
10,13,6,1,1,Trader,Low,Fair,6-10 cedis,3,Far,No,Average,Average,68,No,Maybe,Maybe,1 hour,Irregularly,Sometimes,No,No,Yes,Sports,Yes
11,13,6,0,1,Trader,M,Good,6-10 cedis,3,very Close,No,Average,Excellent,60,No,Yes,Yes,1 hour,Regularly,Sometimes,No,Yes,No,,
12,13,6,0,2,Caterer,M,Good,6-10 cedis,3,very Close,No,Average,Excellent,60,No,Yes,Yes,less than an hour,Regularly,Sometimes,No,Yes,No,,
13,14,6,0,1,Mason,M,Good,2-5 cedis,2,Far,No,Average,Average,65,No,Yes,Yes,1 hour,Regularly,Sometimes,No,No,No,,
